DEBUG 2024-08-05 12:34:18,131 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1722840946.154321
DEBUG 2024-08-05 12:34:18,131 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1722840952.1612954
DEBUG 2024-08-05 12:34:18,132 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\urllib3\util\connection.py first seen with mtime 1722840941.4321544
DEBUG 2024-08-05 12:34:18,133 autoreload File C:\Program Files\Python310\Lib\bisect.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,133 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\requests\__version__.py first seen with mtime 1722840944.2884018
DEBUG 2024-08-05 12:34:18,134 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\views\defaults.py first seen with mtime 1722840952.5831015
DEBUG 2024-08-05 12:34:18,135 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\djoser\utils.py first seen with mtime 1722840964.2711663
DEBUG 2024-08-05 12:34:18,135 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\validators.py first seen with mtime 1722840951.86963
DEBUG 2024-08-05 12:34:18,136 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\template\backends\django.py first seen with mtime 1722840952.4350092
DEBUG 2024-08-05 12:34:18,136 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1722840952.1483018
DEBUG 2024-08-05 12:34:18,137 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\db\backends\postgresql\schema.py first seen with mtime 1722840952.1072953
DEBUG 2024-08-05 12:34:18,138 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\urls\__init__.py first seen with mtime 1722840952.4738555
DEBUG 2024-08-05 12:34:18,138 autoreload File C:\Program Files\Python310\Lib\threading.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,139 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1722840951.8976333
DEBUG 2024-08-05 12:34:18,140 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\requests\__init__.py first seen with mtime 1722840944.2863998
DEBUG 2024-08-05 12:34:18,140 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\requests\hooks.py first seen with mtime 1722840944.3043754
DEBUG 2024-08-05 12:34:18,140 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1722840952.2071128
DEBUG 2024-08-05 12:34:18,141 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1722840947.7230551
DEBUG 2024-08-05 12:34:18,141 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1722840951.9396455
DEBUG 2024-08-05 12:34:18,142 autoreload File C:\Program Files\Python310\Lib\email\utils.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,143 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\rest_framework\schemas\generators.py first seen with mtime 1722840962.5945084
DEBUG 2024-08-05 12:34:18,143 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\rest_framework\relations.py first seen with mtime 1722840962.2455528
DEBUG 2024-08-05 12:34:18,144 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\cache\backends\locmem.py first seen with mtime 1722840951.8846328
DEBUG 2024-08-05 12:34:18,144 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\__init__.py first seen with mtime 1722840951.8606284
DEBUG 2024-08-05 12:34:18,145 autoreload File C:\Program Files\Python310\DLLs\_decimal.pyd first seen with mtime 1665496766.0
DEBUG 2024-08-05 12:34:18,145 autoreload File C:\Program Files\Python310\Lib\email\mime\base.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,146 autoreload File C:\Program Files\Python310\Lib\pickle.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,146 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\charset_normalizer\md.cp310-win_amd64.pyd first seen with mtime 1722840944.1171112
DEBUG 2024-08-05 12:34:18,146 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1722840947.2995188
DEBUG 2024-08-05 12:34:18,147 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\certifi\core.py first seen with mtime 1722840944.2514007
DEBUG 2024-08-05 12:34:18,147 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\files\temp.py first seen with mtime 1722840951.9246297
DEBUG 2024-08-05 12:34:18,148 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\file_storage\file_storage\urls.py first seen with mtime 1722582945.1538248
DEBUG 2024-08-05 12:34:18,148 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1722840952.5008416
DEBUG 2024-08-05 12:34:18,149 autoreload File C:\Program Files\Python310\Lib\importlib\abc.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,149 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\utils\_os.py first seen with mtime 1722840952.485841
DEBUG 2024-08-05 12:34:18,149 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1722840952.166297
DEBUG 2024-08-05 12:34:18,150 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\apps\config.py first seen with mtime 1722840945.2728434
DEBUG 2024-08-05 12:34:18,151 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\requests\auth.py first seen with mtime 1722840944.2953753
DEBUG 2024-08-05 12:34:18,151 autoreload File C:\Program Files\Python310\Lib\ctypes\__init__.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,151 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\rest_framework\authtoken\__init__.py first seen with mtime 1722840962.3568058
DEBUG 2024-08-05 12:34:18,152 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\asgiref\local.py first seen with mtime 1722840944.9989214
DEBUG 2024-08-05 12:34:18,153 autoreload File C:\Program Files\Python310\Lib\asyncio\coroutines.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,153 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1722840952.6021092
DEBUG 2024-08-05 12:34:18,154 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1722840952.4530058
DEBUG 2024-08-05 12:34:18,154 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1722840945.2778292
DEBUG 2024-08-05 12:34:18,155 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1722840952.2051084
DEBUG 2024-08-05 12:34:18,155 autoreload File C:\Program Files\Python310\Lib\copy.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,156 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\template\__init__.py first seen with mtime 1722840952.4080074
DEBUG 2024-08-05 12:34:18,156 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1722840952.1342986
DEBUG 2024-08-05 12:34:18,157 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\utils\timezone.py first seen with mtime 1722840952.5441093
DEBUG 2024-08-05 12:34:18,157 autoreload File C:\Program Files\Python310\Lib\dataclasses.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,158 autoreload File C:\Program Files\Python310\Lib\uu.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,158 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1722840951.8786283
DEBUG 2024-08-05 12:34:18,159 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1722840952.0423465
DEBUG 2024-08-05 12:34:18,159 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1722840951.8361175
DEBUG 2024-08-05 12:34:18,160 autoreload File C:\Program Files\Python310\Lib\gzip.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,161 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\mail\message.py first seen with mtime 1722840951.9496443
DEBUG 2024-08-05 12:34:18,161 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\rest_framework\utils\__init__.py first seen with mtime 1722840962.8109424
DEBUG 2024-08-05 12:34:18,162 autoreload File C:\Program Files\Python310\Lib\asyncio\sslproto.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,162 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\file_storage\storage\__init__.py first seen with mtime 1722415916.279184
DEBUG 2024-08-05 12:34:18,163 autoreload File C:\Program Files\Python310\Lib\ctypes\wintypes.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,163 autoreload File C:\Program Files\Python310\Lib\urllib\response.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,164 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\template\loader.py first seen with mtime 1722840952.4240382
DEBUG 2024-08-05 12:34:18,164 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\requests\structures.py first seen with mtime 1722840944.312375
DEBUG 2024-08-05 12:34:18,165 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1722840947.7070606
DEBUG 2024-08-05 12:34:18,166 autoreload File C:\Program Files\Python310\Lib\unittest\result.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,166 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1722840951.9506285
DEBUG 2024-08-05 12:34:18,167 autoreload File C:\Program Files\Python310\Lib\unittest\main.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,167 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\file_storage\manage.py first seen with mtime 1722415916.2784345
DEBUG 2024-08-05 12:34:18,168 autoreload File C:\Program Files\Python310\Lib\email\mime\message.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,168 autoreload File C:\Program Files\Python310\Lib\asyncio\locks.py first seen with mtime 1665496704.0
DEBUG 2024-08-05 12:34:18,168 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1722840951.8996549
DEBUG 2024-08-05 12:34:18,169 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\db\models\enums.py first seen with mtime 1722840952.1642973
DEBUG 2024-08-05 12:34:18,169 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1722840948.1320345
DEBUG 2024-08-05 12:34:18,170 autoreload File C:\Users\pvsol\Desktop\fs_diploma\fs_diploma_backend\!venv\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1722840951.932627
